Customer ID,Full Name,Phone Number,Email ID,Age,Gender,City,Occupation,Employment Type,Annual Income,Existing Products Count,Has Credit Card,Has Personal Loan,Has Car Loan,Has Home Loan,Credit Score,Existing Outstanding Debt,Monthly EMI Outstanding,Requested Loan Type,Requested Amount,Missed Payments (12M),Credit Utilization (%),Years with Bank,Marital Status,Number of Dependents,Residence Type,Employment Tenure (Years),Co-Applicant Income,Existing Loans (Other Banks),Previous Default History,Requested Tenure (Months),Collateral Value,Application Date,KYC Status
CUST00001,Rajesh Kumar,,rajesh.kumar760@outlook.com,36,Male,Chennai,Salaried - Government,Salaried,664647,2,N,Y,Y,N,327,223817.91,3926.63,Home Loan,3349189,0,31.4,13.1,Single,0,Owned,4.4,722621,0,N,240,4561172,01-07-2026,Verified
CUST00002,Aditya Yadav,,aditya.yadav550@gmail.com,45,Male,Coimbatore,Salaried - It/Tech,Salaried,1816807,1,N,N,Y,N,596,1073974,41306.71,Credit Card,219295,0,65.4,5.6,Married,0,Owned,22.5,0,1,N,18,0,,Verified
CUST00003,Vikram Khanna,,vikram.khanna705@rediffmail.com,35,Female,Delhi,Self Employed - Professional,Self-Employed,434638,1,N,N,Y,N,880,228541.6,7141.93,Personal Loan,737277,1,89,9.7,Married,0,Rented,7.7,0,0,N,36,0,16-12-2025,Pending
CUST00004,Krishna Desai,9629908599,krishna.desai94@gmail.com,28,Male,Kolkata,Salaried - Education,Salaried,566454,1,Y,N,N,N,866,292555,24379.6,Credit Card,,4,76.3,11.6,Married,1,Owned,0.3,0,1,Y,18,0,12-05-2026,Verified
CUST00005,Usha Mishra,9420452650,usha.mishra862@rediffmail.com,59,Male,Chennai,Salaried - Healthcare,Salaried,977585,2,Y,N,N,Y,631,286592,15083.8,Car Loan,944903,0,27.9,8.6,Married,2,Rented,29.3,0,0,N,72,1023354,23-05-2026,Verified
CUST00006,Saanvi Reddy,,,40,Female,Kanpur,Business Owner,Self-Employed,1458933,4,Y,Y,Y,Y,867,,13121.16,Credit Card,57220,2,10.6,1.2,Married,1,Rented,5.5,0,0,N,36,0,28-12-2025,Verified
CUST00007,Preeti Malhotra,9304451095,preeti.malhotra97@gmail.com,63,Female,Kanpur,Salaried - Education,Salaried,2024287,1,Y,N,N,N,400,73618,1269.28,Car Loan,,0,23.1,6.8,Married,1,Owned,27.7,0,2,N,24,624628,29-05-2026,Verified
CUST00008,Sai Khanna,9909134796,sai.khanna870@yahoo.com,31,Female,Chandigarh,Business Owner,Self-Employed,1196521,2,N,N,Y,Y,699,190393,4643.72,Car Loan,1187110,2,74.4,11.8,Single,1,Owned,2.4,701803,0,N,24,1385162,10-05-2026,Verified
CUST00009,Divya Patel,9161073976,divya.patel984@rediffmail.com,26,Male,Bengaluru,Salaried - Government,Salaried,1286516,1,Y,N,N,N,340,478106.53,12581.75,Car Loan,846865,0,73,3.7,Married,2,Owned,1.8,0,0,N,72,1057920,02-10-2025,Verified
CUST00010,Sneha Nair,9242224154,,25,Male,Kanpur,Salaried - It/Tech,Salaried,961638,1,Y,N,N,N,841,4513.8,96.04,Car Loan,517236,5,17.8,1.9,Married,2,Owned,2.5,0,0,N,48,595381,01-01-2026,Verified
