Customer ID,Full Name,Phone Number,Email ID,Age,Gender,City,Occupation,Employment Type,Annual Income,Existing Products Count,Has Credit Card,Has Personal Loan,Has Car Loan,Has Home Loan,Credit Score,Existing Outstanding Debt,Monthly EMI Outstanding,Requested Loan Type,Requested Amount,Missed Payments (12M),Credit Utilization (%),Years with Bank,Marital Status,Number of Dependents,Residence Type,Employment Tenure (Years),Co-Applicant Income,Existing Loans (Other Banks),Previous Default History,Requested Tenure (Months),Collateral Value,Application Date,KYC Status
CUST00001,  Rajesh Kumar  ,,rajesh.kumar760@outlook.com,36,MALE,Chennai,SALARIED - GOVERNMENT,Salaried,"664,647",2,0,Y,Yes,false,327,223817.91,3926.63,Home Loan,"₹3,349,189",0,31.4,13.1,Single,0,Owned,4.4,722621.0,0,NO,240,4561172.0,2026/07/01,Verified
CUST00002,Aditya Yadav,95933037,aditya.yadav550@gmail.com,45,MALE,Coimbatore,Salaried - IT/Tech,Salaried,"1,816,807",1,NO,no,1,no,596,"₹1,073,974",41306.71,Credit Card,219295,0,65.4,5.6,married,0,Owned,22.5,,1,NO,18,,,Verified
CUST00003,Vikram Khanna,,vikram.khanna705@rediffmail.com,35,Female,delhi,Self Employed - Professional,Self-Employed,434638,1,NO,false,YES,0,880,228541.6,7141.93,PERSONAL LOAN,"₹737,277",1,89.0,9.7,Married,0,Rented,7.7,,0,NO,36,,16 Dec 2025,Pending
CUST00004,Krishna Desai,09629908599,krishna.desai94 at gmail.com,28,Male,Calcutta,Salaried - Education,Salaried,566454,1,yes,no,no,N,866,"292,555",24379.6,Credit Card,,4,76.3,11.6,Married,1,Owned,0.3,,1,true,18,,2026/05/12,Verified
CUST00005,Usha Mishra,+91-9420452650,USHA.MISHRA862@REDIFFMAIL.COM,59,M,Chennai,Salaried - Healthcare,Salaried,"977,585",2,1,0,NO,Yes,631,"286,592",15083.8,Car Loan,-944903,0,27.9,8.6,Married,2,Rented,29.3,,0,false,72,1023354.0,2026-05-23,Verified
CUST00006,Saanvi Reddy,,,40,FEMALE,KANPUR,Business Owner,Self-Employed,,4,YES,1,Y,Y,867,N/A,13121.16,credit card,"₹57,220",2,10.6,1.2,Married,1,Rented,5.5,,0,no,36,,2025/12/28,Verified
CUST00007,Preeti Malhotra,9304451095,"preeti.malhotra97@gmail,com",63,female,Kanpur,Salaried - Education,Salaried,2024287,1,1,NO,false,N,400,"₹73,618",1269.28,Car Loan,,0,23.1,6.8,Married,1,Owned,27.7,,2,0,24,624628.0,05/29/2026,Verified
CUST00008,Sai Khanna,09909134796, sai.khanna870@yahoo.com ,31,Female,Chandigarh,BUSINESS OWNER,Self-Employed,"₹1,196,521",2,NO,No,true,1,699,"190,393",4643.72,Car Loan,1187110,2,74.4,11.8,Single,1,Owned,2.4,701803.0,0,No,24,1385162.0,10-05-2026,Verified
CUST00009,Divya Patel,9161073976,divya.patel984@rediffmail.com,26,Male,BENGALURU,Salaried - Government,Salaried,"1,286,516",1,Yes,no,false,NO,340,478106.53,12581.75,Car Loan,"846,865",0,73.0,3.7,Married,2,OWNED,1.8,,0,No,72,1057920.0,02-10-2025,Verified
CUST00010,Sneha Nair,09242224154,,25,  Male  ,Kanpur,Salaried - IT/Tech,Salaried,961638,1,Y,0,false,No,841,4513.8,96.04,Car Loan,"₹517,236",5,17.8,1.9,Married,2,Owned,2.5,,0,No,48,595381.0,2026-01-01,Verified
